N	P	M	v0	beta	num_steps
10	50	48	2.000000e-01	7.000000e-01	10000
i	V_beta	h^2	Acc.
308	2.246124e+00	3.699559e+04	1
309	2.355320e+00	3.555333e+04	1
310	2.302223e+00	3.498578e+04	1
311	2.419745e+00	3.902421e+04	1
312	2.424871e+00	3.918718e+04	1
313	2.320325e+00	3.785833e+04	1
314	2.281704e+00	3.557450e+04	1
315	2.331938e+00	3.459465e+04	1
316	2.457884e+00	3.583958e+04	1
317	2.368590e+00	3.640350e+04	1
318	2.368590e+00	4.094117e+04	0
319	2.254947e+00	3.699749e+04	1
320	2.242555e+00	3.653128e+04	1
321	2.298503e+00	3.857017e+04	1
322	2.098271e+00	3.412875e+04	1
323	1.884282e+00	3.674473e+04	1
324	1.827830e+00	3.926450e+04	1
325	1.748586e+00	3.572819e+04	1
326	1.732401e+00	3.585059e+04	1
327	1.675871e+00	3.577921e+04	1
328	1.555995e+00	3.959177e+04	1
329	1.565222e+00	3.739492e+04	1
330	1.480242e+00	3.543595e+04	1
331	1.469235e+00	3.944784e+04	1
332	1.474167e+00	3.744474e+04	1
333	1.374897e+00	3.098877e+04	1
334	1.424530e+00	3.986239e+04	1
335	1.377363e+00	3.877453e+04	1
336	1.377363e+00	3.566482e+04	0
337	1.407624e+00	3.481561e+04	1
338	1.362445e+00	3.657333e+04	1
339	1.299809e+00	3.723326e+04	1
340	1.263855e+00	3.611990e+04	1
341	1.260171e+00	3.450489e+04	1
342	1.255645e+00	3.412513e+04	1
343	1.268693e+00	3.767462e+04	1
344	1.402852e+00	4.075734e+04	1
345	1.405762e+00	3.385087e+04	1
346	1.410784e+00	3.850937e+04	1
347	1.494648e+00	3.604106e+04	1
348	1.362763e+00	3.793741e+04	1
349	1.268400e+00	4.147813e+04	1
350	1.366895e+00	3.638434e+04	1
351	1.366889e+00	3.421630e+04	1
352	1.273529e+00	3.759575e+04	1
353	1.372078e+00	3.395072e+04	1
354	1.340467e+00	3.192233e+04	1
355	1.373485e+00	3.665224e+04	1
356	1.316991e+00	4.090965e+04	1
357	1.313228e+00	3.507235e+04	1
358	1.372516e+00	3.810972e+04	1
359	1.438848e+00	3.632678e+04	1
360	1.349756e+00	3.313676e+04	1
361	1.438821e+00	3.496246e+04	1
362	1.439909e+00	3.735350e+04	1
363	1.566497e+00	3.550336e+04	1
364	1.576306e+00	4.074143e+04	1
365	1.543855e+00	3.205285e+04	1
