N	P	M	v0	beta	num_steps
10	50	47	2.000000e-01	7.000000e-01	50000
i	V_beta	h^2	H_{HMC}	h	Acc.
215	2.253080e+00	5.408814e-01	3.849139e+04	7.501666e-01	1
216	2.213677e+00	6.709764e-01	3.667142e+04	5.648448e-01	1
217	2.366095e+00	7.644464e-01	3.626451e+04	4.546787e-01	1
218	2.249409e+00	3.917909e-01	4.161051e+04	7.273887e-01	1
219	2.130961e+00	8.709961e-01	3.638497e+04	7.927734e-01	1
220	2.133013e+00	6.910940e-01	3.372161e+04	6.755983e-01	1
221	2.248132e+00	7.257331e-01	3.703632e+04	2.774627e-01	1
222	2.343554e+00	6.066098e-01	3.972963e+04	3.399436e-01	1
223	2.209462e+00	3.718596e-01	3.673583e+04	2.560209e-01	1
224	2.195372e+00	5.910637e-01	3.667958e+04	1.788749e-01	1
225	2.309604e+00	7.237251e-01	3.701095e+04	1.921265e-01	1
226	2.255568e+00	7.737212e-01	3.098902e+04	2.786535e-01	1
227	2.138351e+00	6.213792e-01	3.364906e+04	4.030980e-01	1
228	2.185299e+00	2.711385e-01	3.554096e+04	4.772304e-01	1
229	2.185299e+00	2.711385e-01	4.007505e+04	4.772304e-01	0
230	2.248868e+00	2.771312e-01	3.622157e+04	4.399728e-01	1
231	2.136256e+00	5.840919e-01	3.243621e+04	5.032947e-01	1
232	2.076437e+00	6.474748e-01	3.950873e+04	6.284571e-01	1
233	2.076437e+00	6.474748e-01	3.742361e+04	6.284571e-01	0
234	2.144784e+00	3.407073e-01	3.103371e+04	6.544807e-01	1
235	2.112218e+00	3.530167e-01	3.881523e+04	7.549687e-01	1
236	1.975959e+00	5.207606e-01	3.592907e+04	7.393060e-01	1
237	1.929464e+00	7.608623e-01	4.140013e+04	8.043294e-01	1
238	1.884484e+00	4.586529e-01	3.658126e+04	5.630359e-01	1
239	1.877279e+00	5.547241e-01	4.041127e+04	5.726487e-01	1
240	2.041118e+00	5.688233e-01	3.595768e+04	6.951177e-01	1
241	2.122899e+00	2.336241e-01	3.327614e+04	9.390829e-01	1
242	2.182324e+00	2.305708e-01	3.571513e+04	1.029043e+00	1
243	2.182704e+00	5.411253e-01	3.554939e+04	1.279626e+00	1
244	2.095490e+00	5.676447e-01	3.176138e+04	1.050848e+00	1
245	2.186048e+00	6.376103e-01	3.795254e+04	1.089582e+00	1
246	2.158911e+00	5.429650e-01	3.658454e+04	8.722150e-01	1
247	2.056825e+00	1.136321e+00	3.672056e+04	1.038837e+00	1
248	2.250492e+00	1.158928e+00	3.381456e+04	9.137137e-01	1
249	2.167771e+00	1.834481e+00	4.473127e+04	9.625708e-01	1
250	2.298509e+00	1.407928e+00	3.483499e+04	1.172319e+00	1
